company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Pieropan;La Rocca Soave Classico;4.0;905;26.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Soave Classico;Garganega;2019;34.8595;8.03137;57.3264;albero da frutta/Erbaceo/agrume
Caravaglio;Infatata Malvasia Secca;4.0;72;21.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Salina;Malvasia;2020;58.5962;8.02104;40.537;agrume/albero da frutta/Erbaceo
Elvio Cogno;Anas-Cëtta Langhe Nascetta di Novello;4.0;41;20.5;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Nascetta;2020;62.0675;21.7711;53.3223;Erbaceo/agrume/albero da frutta
Quintodecimo;Giallo d'Arles Greco di Tufo;4.3;82;31.99;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Greco di Tufo;Greco;2020;65.9504;9.74261;39.5769;albero da frutta/Erbaceo/agrume
Palazzone;Campo del Guardiano;3.8;94;24.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Orvieto Classico;Miscela;2017;49.1573;18.5274;63.0849;albero da frutta/agrume/Erbaceo
Cantine del Notaio;Il Preliminare;3.8;63;12.4;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Basilicata;Miscela;2020;61.7937;9.53037;37.9719;nota tropicale/agrume/albero da frutta
Venica & Venica;Ronco Bernizza Chardonnay;3.8;79;20.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Collio;Chardonnay;2018;61.6949;28.1759;47.3151;legno/vegetale/nota tropicale
Planeta;Allemanda;3.9;172;10.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Moscato di Noto;Moscato Bianco;2018;57.7272;9.21329;35.3998;albero da frutta/Floreale/agrume
Foradori;Nosiola Fontanasanta;3.9;84;33.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Vigneti delle Dolomiti;Nosiola;2020;54.286;18.5901;51.2362;Erbaceo/agrume/albero da frutta
Lis Neris;Gris;4.1;289;22.9;Frutti di mare / Vegetariano / Funghi;Italia;Friuli Isonzo;Pinot Grigio;2018;46.4695;14.8069;40.9467;Erbaceo/albero da frutta/legno
Cà Maiol;Molin Lugana;4.0;112;12.39;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Lugana;Verdicchio;2020;58.8656;23.5749;51.0621;albero da frutta/Erbaceo/agrume
Ronco dei Tassi;Sauvignon;3.8;25;15.62;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Collio;Sauvignon Blanc;2019;60.0;12.9961;49.9235;agrume/Erbaceo/albero da frutta
Danzante;Pinot Grigio;3.8;114;8.11;Frutti di mare / Vegetariano / Funghi;Italia;delle Venezie;Pinot Grigio;2020;40.8271;12.3487;41.7371;agrume/albero da frutta/Erbaceo
Piana dei Castelli;Follia Bianco;3.9;104;19.8;Pasta / Vegetariano / Antipasti e spuntini;Italia;Lazio;Sauvignon Blanc;2016;60.1787;34.4301;55.1017;agrume/albero da frutta/legno
La Cipriana;Paguro Vermentino Bolgheri Bianco;4.0;33;16.47;na / na / na;Italia;Bolgheri;Vermentino;2019;;;;
Nals Margreid;Sirmian Pinot Bianco;4.1;25;20.8;Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;Italia;Südtirol - Alto Adige;Weissburgunder;2020;42.764;7.12547;57.7353;albero da frutta/agrume/Erbaceo
Colterenzio (Schreckbichl);Gewürztraminer;3.9;222;10.37;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2020;62.053;36.655;31.7357;nota tropicale/albero da frutta/Erbaceo
Tani;Taerra Vermentino di Gallura Superiore;4.1;42;16.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Vermentino di Gallura;Vermentino;2019;63.3213;9.34526;39.4039;albero da frutta/agrume/Erbaceo
Claudio Mariotto;Cavallina;4.1;45;24.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Tortonesi;Timorasso;2018;67.1413;23.3052;48.4699;Erbaceo/agrume/albero da frutta
Erste+Neue;Gewürztraminer;4.0;275;12.5;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2020;62.756;38.205;30.8123;albero da frutta/nota tropicale/Erbaceo
Ritterhof;Lenz;4.0;149;9.99;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Müller-Thurgau;2020;52.6527;31.9842;47.987;albero da frutta/agrume/legno
Cusumano;Alta Mora Etna Bianco;3.9;723;19.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Carricante;2019;60.8058;5.27225;39.6807;Erbaceo/agrume/albero da frutta
Casal Farneto;Grancasale Verdicchio dei Castelli di Jesi Classico Superiore;3.9;33;10.5;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2019;51.39;18.8085;64.938;albero da frutta/Erbaceo/agrume
Belguardo;Vermentino Bianco Toscana;3.8;560;10.8;Pasta / Vegetariano / Antipasti e spuntini;Italia;Toscana;Vermentino;2018;42.2367;20.9233;64.5553;agrume/albero da frutta/Erbaceo
La Tunella;Pinot Grigio;4.0;173;13.48;Frutti di mare / Vegetariano / Funghi;Italia;Colli Orientali del Friuli;Pinot Grigio;2020;41.1481;12.111;41.9916;agrume/albero da frutta/Erbaceo
Erste+Neue;Müller Thurgau;3.8;55;9.4;Frutti di mare / Cibi speziati / Vegetariano;Italia;Südtirol - Alto Adige;Müller-Thurgau;2020;30.6324;12.969;36.0144;albero da frutta/agrume/Erbaceo
