Name,R,G,B,Clusters
Colle Imperatrice Campi Flegrei Falanghina 2020'.png,134.64259151910434,134.25052670871958,129.06049653052588,6
Colle Ozio Umbria Grechetto 2020'.png,190.3118184330498,181.7820824234228,134.48281470500382,4
Collezione di Famiglia Viognier 2019'.png,158.66121262664313,145.8795635406945,123.19606563618538,0
Collezione di Famiglia Zibibbo 2020'.png,202.55316416616526,199.1674534400737,173.86297286464801,4
Colli Tortonesi Bianco 2019'.png,122.16706933001731,116.09659050417126,111.79124683321989,1
Colli di Luni Vermentino 2021'.png,121.3859794210188,122.22800006545145,119.59630429072631,1
Collio Bianco 2019'.png,117.8589798464028,122.90408870238144,112.73581345944879,1
Collio Chardonnay 2020'.png,159.50959157342723,152.06206163351627,127.9081471902672,2
Collio Friulano 2019'.png,168.34945610271137,153.99612685588613,92.33312250655787,3
Collio Malvasia 2019'.png,165.11678043464377,130.91134224183577,74.26850627030308,7
Collio Pinot Bianco 2019'.png,156.2683005155932,115.07197540587163,61.696517871435155,5
Collio Pinot Grigio 2018'.png,170.78314422957897,145.26611145499456,88.42526477755321,3
Collio Pinot Grigio 2019'.png,143.30945537542175,122.70066014492342,90.937429037773,7
Collio Sauvignon 2019'.png,174.2663051138665,139.11655432145562,74.92079477819279,3
Collio Sauvignon 2020'.png,146.01109600807848,139.85563422757357,116.5575117412305,0
Colto Vitato Filanda 2017'.png,124.11562249384875,124.58465382373322,121.37121706572695,1
Cometa 2020'.png,128.02245513818207,113.10182814354401,103.79293111295975,1
Conte Hugues 2019'.png,170.95183360164555,141.08362142819456,101.17957245587145,3
Contea di Sclafani Nozze d'Oro Regaleali 2018'.png,145.69580181551788,140.57870588755472,121.18540324966663,0
Contessa Entellina Chiarandà 2018'.png,176.0797947455842,156.68094219482734,131.09647697215132,2
Contessa Lene Sauvignon Blanc 2019'.png,128.9516660956391,124.56359873075024,109.92158734664845,1
Contrada Blandano Etna Blanc 2016'.png,168.32319519072732,148.61727395443324,98.9401680953954,3
Contrada Cavaliere Etna Bianco 2018'.png,127.18333534906935,118.84583297621451,109.89188002961224,1
Contrada Rinazzo Etna Bianco Superiore 2019'.png,128.200369193519,120.0913994551965,108.80837719682788,1
