idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Jo Negroamaro Salento  - 2016 - Gianfranco Fino,79.0,Negroamaro,84.056,41.5538,33.8901,legno/bacche nere/frutti rossi,15
Famiglia Pasqua Amarone della Valpolicella Riserva  - 2003 - Pasqua Vigneti e Cantine,140.0,Miscela,83.6724,27.4672,44.7931,legno/Erbaceo/frutta secca,13
Pietro Dal Cero Amarone della Valpolicella  - 2012 - Cà dei Frati,70.0,Miscela,81.9494,28.0849,47.0954,legno/bacche nere/frutti rossi,8
NeroBufaleffj  - 2017 - Gulfi,29.9,Nero d'Avola,82.9656,42.9295,27.9412,bacche nere/legno/frutti rossi,15
Maremma Toscana  - 2017 - Rocca di Frassinello,45.6,Sangiovese,53.1105,42.7017,9.76512,legno/bacche nere/Erbaceo,7
Per Sempre Syrah Toscana  - 2012 - Tua Rita,270.0,Shiraz/Syrah,58.2789,40.3593,11.7453,legno/bacche nere/spezie,16
Barolo Bussia Romirasco  - 2015 - Aldo Conterno,283.0,Nebbiolo,62.4663,77.7524,9.00968,legno/Erbaceo/frutti rossi,1
Bolgheri Superiore  - 1996 - Ornellaia,336.0,Miscela,64.5938,64.8667,12.543,legno/bacche nere/Erbaceo,4
Cannubi Barolo  - 2016 - Virna,66.88,Nebbiolo,66.6387,76.4642,4.77075,Erbaceo/legno/frutti rossi,1
Brunello di Montalcino  - 2017 - Sasso di Sole,29.99,Sangiovese,49.3261,56.1411,6.46346,legno/Erbaceo/frutti rossi,3
5 Stelle Sfursat  - 2018 - Nino Negri,67.15,Nebbiolo,66.2259,75.7981,15.6917,legno/Erbaceo/bacche nere,11
Pa' Riondo Valpolicella Ripasso Classico Superiore  - 2018 - Brunelli,18.66,Miscela,62.5019,39.5805,27.5444,legno/frutti rossi/bacche nere,8
Riserva Brunello di Montalcino  - 2004 - Le Macioche,102.0,Sangiovese,53.4083,51.7063,0.0,legno/bacche nere/Erbaceo,7
Sorì San Lorenzo  - 2000 - Gaja,547.0,Nebbiolo,63.3511,72.7887,11.5448,Erbaceo/legno/frutti rossi,1
Carpino Merlot  - 2016 - Ricchi,26.6,Merlot,68.3292,41.697,14.1206,legno/bacche nere/Erbaceo,5
