,Name,R,G,B,Clusters
261,Brunello di Montalcino 1995'.png,159.15678398913374,152.67915770284557,141.9890203141207,2
262,Brunello di Montalcino 1997'.png,147.409320851891,126.99451287048822,111.33990660652454,7
263,Brunello di Montalcino 2004'.png,119.00479476252454,111.66530874210929,97.84279107172834,1
264,Brunello di Montalcino 2007'.png,153.43070174236365,145.3949099586957,135.51961192901678,5
265,Brunello di Montalcino 2008'.png,162.0711969305278,158.98358838734964,151.03399354608132,6
266,Brunello di Montalcino 2009'.png,159.44838475686984,154.3863774537996,150.20678659820095,2
267,Brunello di Montalcino 2011'.png,124.24312588915599,110.3977240721699,112.26134791735076,3
268,Brunello di Montalcino 2012'.png,187.55126835313476,122.85709427073482,96.27628227992743,7
269,Brunello di Montalcino 2013'.png,135.30464820576918,126.32802836658277,122.0409767250328,3
270,Brunello di Montalcino 2014'.png,166.5049832552134,122.44436306847325,124.78685765143574,5
271,Brunello di Montalcino 2015'.png,135.31084039873437,121.21806634261716,115.26482721175988,3
272,Brunello di Montalcino 2017'.png,101.47976297021056,108.3054164901586,105.56022202661522,1
273,Brunello di Montalcino Montosoli 2007'.png,171.27293225385804,156.85033490259153,145.75851023897923,6
274,Brunello di Montalcino Pianrosso 2013'.png,142.74955869611824,130.62748440714796,120.84489271474445,0
275,Brunello di Montalcino Prime Donne Selection 2015'.png,122.89403835838263,104.16621712682972,107.28126012824215,1
276,Brunello di Montalcino Riserva (Casato Prime Donne) 2006'.png,122.48002638285598,111.09137733256826,112.12248204705494,3
277,Brunello di Montalcino Riserva 1983'.png,114.9778479178099,107.00504072312425,101.56838974442584,1
278,Brunello di Montalcino Riserva 1999'.png,112.17434200365327,103.65237203869968,95.05290808790849,1
279,Brunello di Montalcino Riserva 2001'.png,120.59251492472676,115.06220813495058,106.14170117698764,3
280,Brunello di Montalcino Riserva 2007'.png,141.3204593193152,133.80878028941032,131.30757240703437,0
281,Brunello di Montalcino Riserva 2010'.png,137.60411487407956,111.08770448456212,81.08924796456166,7
282,Brunello di Montalcino Riserva 2012'.png,123.1074122843527,111.50354546114893,96.88932165314455,1
283,Brunello di Montalcino Riserva 2013'.png,174.49395245174279,170.30995881542907,153.00631448053488,6
284,Brunello di Montalcino Riserva 2015'.png,112.08923194654939,105.9868301406609,91.3374322532238,1
285,Brunello di Montalcino Riserva Le Due Sorelle 2011'.png,144.72225725862538,107.51360194493812,73.56478626202741,7
286,Brunello di Montalcino Riserva Madonna del Piano 2013'.png,146.10867220835385,136.1850292973659,132.3497662631909,0
287,Brunello di Montalcino Riserva Pian di Conte 2015'.png,137.4395447405805,128.37703856850942,117.56883443344807,3
288,Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro 2015'.png,135.3638262677566,117.84148020892866,106.2929384061805,3
289,Brunello di Montalcino Riserva Vigna Paganelli 2015'.png,135.9020514522603,107.04620183856709,88.0518397434911,7
290,Brunello di Montalcino Ugolaia 2013'.png,161.72432737382502,153.6583059909226,149.05080049779087,2
